head,rel,tail
函数,contain,宏定义
函数,contain,文件包含
函数,contain,函数综合型实验
函数的引入,contain,什么是函数
函数的引入,contain,结构化程序设计思想
函数的引入,contain,函数的分类
生活中的递归,contain,递归算法
生活中的递归,contain,斐波那契数列
生活中的递归,contain,汉诺塔
循环结构程序设计,contain,循环结构引入
循环结构程序设计,contain,循环语句选择
循环结构程序设计,contain,循环语句应用
循环结构程序设计,contain,递推法应用
循环结构程序设计,contain,多重循环
循环结构程序设计,contain,循环结构综合型实验
循环结构程序设计,contain,break和continue语句
选择（分支）结构程序设计,contain,选择结构综合型实验
选择（分支）结构程序设计,contain,循环结构程序设计
选择（分支）结构程序设计,contain,循环结构引入
选择（分支）结构程序设计,contain,循环语句选择
选择（分支）结构程序设计,contain,循环语句应用
选择（分支）结构程序设计,contain,if语句
简单的C程序设计,contain,常见错误分析
简单的C程序设计,contain,顺序结构与语句
简单的C程序设计,contain,顺序结构引入
顺序结构引入,contain,最简单的C顺序程序编写方法
顺序结构引入,contain,掌握数据的输出
顺序结构引入,contain,掌握数据的输入
顺序结构引入,contain,C语言程序的结构
C语言概述,contain,程序设计语言
C语言概述,contain,C语言课程介绍
C语言概述,contain,C语言程序的开发环境
C语言概述,contain,C语言的发展历史及特点
C语言概述,contain,初识C语言程序
C语言概述,contain,算法基础
C语言概述,contain,问题求解的过程
程序设计语言,contain,语言处理程序
程序设计语言,contain,程序设计语言发展
程序设计语言,contain,程序设计语言概述
程序设计语言,contain,计算机语言
初识C语言程序,contain,C程序
初识C语言程序,contain,编程风格
算法基础,contain,算法概念
算法基础,contain,算法描述
算法基础,contain,算法控制结构
C语言的发展历史及特点,contain,C语言的诞生
C语言的发展历史及特点,contain,C语言的发展
C语言的发展历史及特点,contain,C语言的流行性
C语言的发展历史及特点,contain,C语言的用途
C语言的发展历史及特点,contain,C语言的特点
C语言概述,follow_up,简单的C程序设计
程序设计语言,follow_up,初识C语言程序
初识C语言程序,follow_up,C语言程序的开发环境
初识C语言程序,follow_up,顺序结构与语句
问题求解的过程,follow_up,算法基础
简单的C程序设计,follow_up,选择（分支）结构程序设计
运算符和表达式,follow_up,顺序结构与语句
顺序结构与语句,follow_up,常见错误分析
掌握数据的输入,follow_up,最简单的C顺序程序编写方法
掌握数据的输出,follow_up,最简单的C顺序程序编写方法
C语言程序的结构,follow_up,最简单的C顺序程序编写方法
顺序结构与语句,follow_up,选择结构的引入
掌握数据的输入,follow_up,常见错误分析
掌握数据的输出,follow_up,常见错误分析
顺序结构与语句,follow_up,循环语句的选择
选择（分支）结构程序设计,follow_up,循环结构程序设计
逻辑运算符的短路特性,follow_up,if语句
逻辑运算符与逻辑表达式,follow_up,逻辑运算符的短路特性
逻辑运算符与逻辑表达式,follow_up,if语句
逻辑运算符与逻辑表达式,follow_up,循环语句选择
if语句,follow_up,循环语句应用
关系运算符与关系表达式,follow_up,if语句
关系运算符与关系表达式,follow_up,循环语句选择
选择结构的引入,follow_up,逻辑运算符与逻辑表达式
选择结构的引入,follow_up,关系运算符与关系表达式
选择结构的引入,follow_up,if语句
循环语句应用,follow_up,数组的引入
循环语句应用,follow_up,多重循环
循环语句应用,follow_up,break和continue语句
循环语句选择,follow_up,循环语句应用
循环语句选择,follow_up,递推法应用
循环语句选择,follow_up,多重循环
顺序结构与语句,follow_up,循环语句选择
循环结构程序设计,follow_up,函数
函数,follow_up,指针
函数,follow_up,数组
变量,follow_up,局部变量
变量,follow_up,全局变量
变量,follow_up,静态变量
变量,follow_up,外部变量
什么是函数,follow_up,函数的分类
什么是函数,follow_up,函数的定义
函数的定义,follow_up,函数的调用
函数的定义,follow_up,函数的声明
函数的定义,follow_up,参数传递
函数的调用,follow_up,函数的嵌套调用
函数的声明,follow_up,参数传递
参数传递,follow_up,函数的嵌套调用
参数传递,follow_up,函数的递归调用
函数的递归调用,follow_up,递归算法
递归算法,follow_up,斐波那契数列
递归算法,follow_up,汉诺塔
变量的含义与意义,follow_up,一维数组的定义
二进制数字的基本知识——计算机系统,follow_up,位运算
不同数据类型详解,follow_up,常量
不同数据类型详解,follow_up,类型转换
不同数据类型详解,follow_up,自动类型转换
不同数据类型详解,follow_up,指针变量的定义
不同数据类型详解,follow_up,结构体的定义
不同数据类型详解,follow_up,共用体
不同数据类型详解,follow_up,枚举类型
不同数据类型详解,follow_up,变量
不同数据类型详解,follow_up,运算符和表达式
数据类型导入,follow_up,不同数据类型详解
常量,follow_up,符号常量与宏替换
常量,follow_up,运算符和表达式
符号常量与宏替换,follow_up,枚举类型
变量,follow_up,运算符和表达式
变量,follow_up,指针变量的定义
数组,follow_up,指针
数组,follow_up,结构体、共用体与枚举
二维数组的定义与引用,follow_up,二维数组的应用
一维数组的定义,follow_up,一维数组的引用及初始化
一维数组的定义,follow_up,数组定义
一维数组的定义,follow_up,字符数组
一维数组的定义,follow_up,结构体的定义
一维数组的引用及初始化,follow_up,数组遍历——查找某个数
一维数组的引用及初始化,follow_up,二维数组的引用
一维数组的引用及初始化,follow_up,二维数组初始化
一维数组的引用及初始化,follow_up,字符数组
一维数组的引用及初始化,follow_up,数组遍历——求最小值
数组遍历——求最小值,follow_up,数组应用——选择排序法
数组遍历——求最小值,follow_up,数组应用——冒泡排序法
指针,follow_up,结构体、共用体与枚举
指针,follow_up,文件
指针的引入,follow_up,指针变量的定义
指针变量的定义,follow_up,指向函数的指针
指针变量的定义,follow_up,指针变量的赋值与运算
指针变量的定义,follow_up,指向指针的指针
指针变量的赋值与运算,follow_up,指针与一维数组
指针变量的赋值与运算,follow_up,指针与字符数组
指针变量的赋值与运算,follow_up,指针与内存的动态分配
指针与一维数组,follow_up,指针与字符数组
指针与一维数组,follow_up,指针数组
指针数组,follow_up,指向指针的指针
结构体、共用体与枚举,follow_up,文件
结构体的定义,follow_up,链表
结构体的定义,follow_up,结构体的应用
结构体的应用,follow_up,链表
二进制数字的基本知识——计算机系统,follow_up,文本文件与二进制文件
文本类型数据与操作——计算机系统,follow_up,文本文件与二进制文件
文本文件与二进制文件,follow_up,字符、字符串文件读写函数
文本文件与二进制文件,follow_up,格式化文件读写函数
文本文件与二进制文件,follow_up,数据块读写函数
文本文件与二进制文件,follow_up,文件操作
文件操作,follow_up,字符、字符串文件读写函数
文件操作,follow_up,格式化文件读写函数
文件操作,follow_up,数据块读写函数
